objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,disneycodenames.jpg,Disney Codenames,,,,,,,,,,,image/jpeg,,,
coll002,carcassonne.jpg,Carcassonne,,,,,,,,,,,image/jpeg,,,
coll003,parks.jpg,Parks,,,,,,,,,,,image/jpeg,,,
coll004,yokohama.jpg,Yokohama,Hayashi Hisashi,,,,,,,,,,image/jpeg,,,
coll005,villainous.jpg,Villainous,,,,,,,,,,,image/jpeg,,,
coll006,raceforthegalaxy.jpg,Race for the Galaxy,,,,,,,,,,,image/jpeg,,,
coll007,bananagrams.jpg,Bananagrams,,,,spelling,,,,,,,image/jpeg,,,
coll008,tcgcp.png,Taco Cat Goat Cheese Pizza,,,,,,,,,,,image/png,,,
coll009,duel.jpg,7 Wonders Duel,,,,,,,,,,,image/jpeg,,,
coll010,catan.jpg,Settlers of Catan,,,,,,,,,,,image/jpeg,,,
coll011,spiritisland.png,Spirit Island,,,Work together as the island's powerful native spirits to drive away colonial invaders.,,,,,,,,image/png,,,
coll012,everdell.png,Everdell,,,,,,,,,,,image/png,,,
coll013,chess.jpg,Chess,,,,,,,,,,,image/jpeg,,,
coll014,superbigboggle.jpg,Super Big Boggle,,,,,,,,,,,image/jpeg,,,
coll015,pandemic.jpg,Pandemic,,,,,,,,,,,image/jpeg,,,
coll016,sagrada.jpg,Sagrada,,,,,,,,,,,image/jpeg,,,
coll017,machikoro.png,Machi Koro,,,,,,,,,,,image/png,,,
coll018,planetx.jpg,The Search for Planet X,,2020,,,,,,,,,image/jpeg,,,
coll019,innovation.png,Innovation,,,,,,,,,,,image/png,,,
coll020,alittlewordy.jpg,A Little Wordy,,,,,,,,,,,image/jpeg,,,
coll021,foxintheforest.jpg,The Fox in the Forest,,,,,,,,,,,image/jpeg,,,
coll022,connectfour.jpeg,Connect 4,,,,,,,,,,,image/jpeg,,,
coll023,,,,,,,,,,,,,,,,
